CODIGO;IEDU005;IEDU011;IEDU018;IEDU025;IEDU035
1101;79,9;31,74;14994697;36304957;20,11
1107;81,92;60,76;4293683;6218158;20,13
1401;85,12;27,04;6609770;9358336;22,34
1402;91,56;12,5;633380;1744612;11,84
1403;82,94;20;415662;1130047;8,1
1404;79,43;62,5;1435548;2722026;13,06
1405;83,01;34,15;3055564;5161533;20,09
2101;81,48;41,73;34074059;94916811;21,75
2102;83,36;37,97;2915650;6311789;22,83
2103;87,91;50;439898;1703124;10,2
2104;85,5;46,72;5007009;6998734;21,88
2201;84,75;59,26;32610970;45378580;24,58
2202;91,18;No Recepcionado;76587;330217;8,5
2203;88,29;62,16;2737410;5225779;17,72
2301;84,31;21,66;8622858;11906584;22,19
2302;87,73;38,98;1212162;2763934;17,9
3101;79,32;41,19;31535907;41779944;20,86
3102;79,17;32,76;3022640;5927993;19,28
3103;81,92;15,48;3495589;7137587;20,29
3201;83,75;48,45;4224955;6022805;18,75
3202;79,14;52,22;2132376;5145389;19,7
3301;0;44;Sin Servicio;Sin Servicio;0
3302;0;20,83;0;380908;0
3303;0;47,06;No Recepcionado;438394;0
3304;0;29,27;Sin Servicio;Sin Servicio;0
4101;81,39;50,36;17517455;39682658;16,78
4102;0;51,32;0;1827071;0
4103;0;36,73;Sin Servicio;Sin Servicio;0
4104;87,63;33,33;1607785;3289443;13,39
4105;85,55;17,65;1209396;3421265;11,82
4106;90,8;26,56;4241213;7768871;15,24
4201;86,93;38,63;5861381;11381126;18,18
4202;92,21;54,93;2275110;4357097;16,33
4203;88,57;35,56;3680753;6806542;16,5
4204;91,09;27,27;3573795;6954203;12,79
4301;85,92;44,07;24373787;37227518;16,21
4302;89,14;50,53;4504167;6706771;14,13
4303;88,66;33,06;8979924;13075966;18,4
4304;87,84;21,05;1977029;4233339;15,69
4305;91,95;42,31;1494327;2853863;13,47
5101;81,34;42,87;29780429;48838064;14,28
5102;83,21;39,72;3547186;6501264;14,23
5103;83,43;28,57;2519494;4513365;16
5104;87,2;90;554289;749248;10,87
5105;85,27;26,67;4850790;6625048;15,53
5107;83,78;19,67;2368876;6552544;16,53
5109;81,81;40,08;13378276;38079075;14,41
5201;83,08;48,98;2522255;4111107;13,16
5301;87,2;45,31;8646423;13676701;16,31
5302;88,04;33,33;2140342;3716790;12,87
5303;87,95;14,29;515156;2301005;15,93
5304;91,09;32,56;2960858;4448329;14,72
5401;87,21;35,33;3845997;10133396;15,55
5402;87,94;31,32;4374879;8515487;14,88
5403;89,3;26,47;715962;2410686;13,75
5404;92,1;38,78;1737491;4372835;10,4
5405;88,06;77,78;1090536;3847216;14,34
5501;88,34;39,32;7788392;16704347;16,05
5502;89,59;25;3017971;7744720;13,83
5503;86,58;33,33;2845635;4548225;11,96
5504;87,4;37,14;794223;2197590;18,22
5506;91,84;56,25;1706973;4088074;13,04
5601;86,43;44,49;7450815;14803607;15,28
5602;83,48;32;No Recepcionado;No Recepcionado;18,45
5603;77,8;35,29;3835734;6329373;13,96
5604;83,52;41,86;1580073;3767001;20,28
5605;91,35;50;1351898;2954117;23,11
5606;86,48;59,32;1278539;4095614;17,5
5701;82,62;47,69;8006108;18547941;14,63
5702;87,39;37,66;3007062;4882467;14,39
5703;87,55;56;3100473;6811817;15,48
5704;88,95;34,38;2063329;2905594;12,51
5705;89,51;31,82;2746776;4633162;11,54
5706;89,22;5,88;1943392;3274982;12,8
5801;79,59;34,35;13330576;19875165;13,67
5802;89,18;44,74;5460690;8069873;15,37
5803;91,27;22,03;1927554;4163272;14,59
5804;87,48;56,89;5335900;12289054;15,82
6101;85,93;68,34;13757462;40741417;20
6102;87,93;25,71;2537745;4427124;16,89
6103;91,3;41,94;1504444;2429992;16,05
6104;88,48;23,08;4208106;6775168;14,07
6105;90,34;50,98;3417317;6282491;15,44
6106;88,64;11,86;4390292;6072591;16,87
6107;88,55;32,86;5170096;8578184;16,71
6108;85,53;20,73;3389072;6820664;15,82
6109;85,62;33,33;2618855;4602624;14,77
6110;87,73;27,66;No Recepcionado;No Recepcionado;16,35
6111;92,37;45,12;1919115;3771754;19,39
6112;90,71;37,7;2460769;3645102;13,23
6113;88,96;31,67;3893879;6790804;13,41
6114;87,86;31,25;2115203;4189163;15,17
6115;90,75;48,84;10945514;22214704;17,19
6116;89,99;22,22;3312220;5863181;19,74
