CODIGO;ISOC001;LPCASEN;MSUFO;MPIE;MCCULT
1101;4,38;4;3899;5049;438
1107;7,76;8;7382;8307;63
1401;10,88;11;No Recepcionado;No Recepcionado;No Recepcionado
1402;26,45;26;148;0;1
1403;13,95;14;No Recepcionado;No Recepcionado;No Recepcionado
1404;18,82;19;156;568;11
1405;8,63;9;343;325;0
2101;5,06;5;3771;6913;66
2102;7,66;8;229;662;1
2103;1,41;1;75;40;0
2104;3,51;4;No Recepcionado;No Recepcionado;No Recepcionado
2201;4,59;5;1482;3704;79
2202;20,19;20;0;0;1
2203;4,04;4;No Recepcionado;No Recepcionado;No Recepcionado
2301;10,4;10;No Recepcionado;No Recepcionado;No Recepcionado
2302;4,99;5;97;450;2
3101;6,26;6;No Recepcionado;No Recepcionado;No Recepcionado
3102;10,44;10;969;850;1
3103;14,25;14;861;789;29
3201;12,07;12;681;703;32
3202;7,56;8;279;704;4
3301;8,83;9;5829;3545;28
3302;15,27;15;353;305;8
3303;15,73;16;422;600;0
3304;9,72;10;756;327;1
4101;10,24;10;6942;5740;67
4102;13,41;13;30537;3350;195
4103;14,85;15;473;593;2
4104;20,54;21;No Recepcionado;363;3
4105;10,48;10;894;572;2
4106;12,25;12;1439;765;27
4201;12,02;12;No Recepcionado;No Recepcionado;No Recepcionado
4202;25,1;25;507;840;3
4203;13,81;14;No Recepcionado;No Recepcionado;No Recepcionado
4204;12,53;13;4881;3093;73
4301;5,74;6;No Recepcionado;No Recepcionado;No Recepcionado
4302;16,21;16;956;907;1
4303;21,36;21;2206;2197;1
4304;25,16;25;896;1299;3
4305;17,19;17;349;812;17
5101;7,08;7;12269;11280;340
5102;8,92;9;1123;725;29
5103;2,42;2;865;435;23
5104;5,12;5;No Recepcionado;0;0
5105;8,45;8;700;463;2
5107;5,29;5;1567;620;0
5109;5,18;5;10769;3838;756
5201;8,12;8;218;147;0
5301;7,01;7;1905;7370;25
5302;17,18;17;555;984;15
5303;10,53;11;1693;230;0
5304;10,7;11;569;386;15
5401;16,66;17;1566;1285;41
5402;16,37;16;733;1128;25
5403;7,63;8;316;432;2
5404;10,16;10;502;350;0
5405;4,5;5;117;260;7
5501;9,93;10;2681;3152;4
5502;15,77;16;No Recepcionado;No Recepcionado;No Recepcionado
5503;8,98;9;1151;1080;0
5504;6,93;7;547;872;3
5506;7,72;8;864;1100;9
5601;7,51;8;4196;1379;365
5602;3,27;3;435;1042;1
5603;6,87;7;1167;1146;14
5604;3,43;3;695;1424;38
5605;6,2;6;638;902;2
5606;3,98;4;272;480;1
5701;8,17;8;3365;2670;108
5702;16,87;17;863;1020;19
5703;7,81;8;1800;963;3
5704;10,17;10;333;58;6
5705;9,25;9;No Recepcionado;1300;1
5706;12,91;13;2291;692;8
5801;5,25;5;3599;2681;264
5802;4,44;4;4900;2258;36
5803;6,92;7;915;748;9
5804;3,73;4;No Recepcionado;No Recepcionado;No Recepcionado
6101;10,64;11;8632;8509;2
6102;8,94;9;538;985;10
6103;14,44;14;318;85;1
6104;14,44;14;1129;1404;0
6105;7,49;7;722;376;0
6106;7,01;7;1537;891;41
6107;13,33;13;1370;1136;1
6108;7,24;7;860;1589;16
6109;12,14;12;0;440;0
6110;9,99;10;No Recepcionado;No Recepcionado;10
6111;8,49;8;443;142;0
6112;12,51;13;1940;348;14
6113;11,63;12;997;870;14
6114;12,9;13;764;219;15
6115;10,2;10;No Recepcionado;No Recepcionado;90
6116;7,71;8;755;900;0
6117;7,11;7;2337;1979;24
6201;4,06;4;717;1252;5
6202;14,01;14;41;135;0
6203;9,83;10;318;125;3
6204;6,26;6;868;300;4
6205;11,71;12;No Recepcionado;482;16
6206;14,79;15;255;302;0
6301;10,12;10;2847;1547;17
6302;11,95;12;736;687;6
6303;15,86;16;2104;1050;5
6304;13,36;13;354;390;1
6305;11,17;11;751;1066;11
6306;9,13;9;410;638;7
6307;7,6;8;447;437;3
6308;17,64;18;407;1600;1
6309;10,66;11;201;0;1
6310;4,96;5;1513;812;17
7101;7,98;8;6;2045;91
7102;7,54;8;3152;1463;23
7103;15,42;15;559;387;9
7104;16,63;17;203;386;0
7105;11,03;11;3650;728;20
7106;15,97;16;566;554;1
7107;8,49;8;633;1014;0
7108;10,63;11;1136;549;5
7109;16,65;17;No Recepcionado;No Recepcionado;No Recepcionado
7110;6,98;7;819;631;17
7201;20;20;2981;816;13
7202;20,37;20;741;200;1
7203;19,38;19;4234;464;1
7301;9,85;10;No Recepcionado;No Recepcionado;No Recepcionado
7302;21,39;21;1072;650;16
7303;23,26;23;236;461;1
7304;13,05;13;2645;2632;61
7305;18,14;18;2995;350;10
7306;11,69;12;886;849;32
7307;15,67;16;915;615;10
7308;9,15;9;4484;1024;28
7309;17,13;17;196;215;0
7401;11,34;11;4935;3890;3
7402;25,09;25;1757;1019;0
7403;23,85;24;2725;507;23
7404;16,91;17;3070;222;11
7405;22,51;23;1733;1157;12
7406;20,02;20;2880;1688;13
7407;19,62;20;1305;520;0
7408;22,08;22;1420;218;18
8101;7,7;8;No Recepcionado;1933;149
8102;11,36;11;7139;2392;315
8103;8,71;9;3188;1216;5
8104;15,87;16;699;321;2
8105;12,91;13;No Recepcionado;No Recepcionado;No Recepcionado
8106;18,13;18;No Recepcionado;No Recepcionado;No Recepcionado
8107;8,59;9;2527;1440;24
8108;12,17;12;5662;3092;19
8109;15,48;15;1174;763;31
8110;7,91;8;4207;1496;110
8111;7,27;7;3278;997;68
8112;10,53;11;2919;1349;28
8201;13,25;13;5408;338;33
8202;15,93;16;2377;1857;1
8203;15,8;16;9113;919;15
8204;24,22;24;3643;236;1
8205;12,3;12;1656;1728;51
8206;16,09;16;1910;736;28
8207;26,08;26;1172;1440;1
8301;17,42;17;22203;5871;11
8302;28,76;29;955;238;6
8303;11,2;11;1333;640;3
8304;19,35;19;1594;737;6
8305;14,8;15;2128;2009;4
8306;17,35;17;1953;1131;1
8307;17,87;18;660;1092;0
8308;21,12;21;264;133;1
8309;16,05;16;714;485;15
8310;20,8;21;228;415;0
8311;16,39;16;698;347;35
8312;15,77;16;1060;422;42
8313;21,03;21;1320;1865;7
8314;39,73;40;1951;389;3
9101;10,37;10;11785;3967;6
9102;24,4;24;2350;1491;1
9103;19,65;20;1546;1563;0
9104;22,85;23;1035;141;0
9105;24,02;24;1793;853;3
9106;37,29;37;No Recepcionado;No Recepcionado;No Recepcionado
9107;11,3;11;1223;978;3
9108;16,8;17;3390;1820;1
9109;30,21;30;2063;1017;26
9110;25,71;26;No Recepcionado;No Recepcionado;No Recepcionado
