,id bitacora,id atencion,cluster
0,22141,23226,19
1,22139,24816,22
2,22138,24081,0
3,22137,25383,31
4,22131,25139,5
5,22130,25795,5
6,22129,25466,5
7,22125,24317,32
8,22123,24420,35
9,22122,23581,24
10,22118,23441,28
11,22117,22027,25
12,22115,24468,14
13,22111,25880,23
14,22107,25885,31
15,22104,24424,31
16,22103,24530,0
17,22102,24481,30
18,22101,24697,5
19,22096,24486,8
20,22095,24514,36
21,22094,24504,31
22,22093,24982,31
23,22092,23953,2
24,22091,24974,5
25,22090,23247,0
26,22089,25321,26
27,22088,25409,3
28,22087,22005,31
29,22086,24393,12
30,22085,24515,25
31,22084,24699,14
32,22083,25159,11
33,22082,24529,30
34,22081,25407,18
35,22080,24767,6
36,22079,25405,18
37,22078,25404,18
38,22077,25143,18
39,22076,21795,18
40,22075,25406,18
41,22074,25340,34
42,22073,24465,27
43,22071,23796,31
44,22070,24408,13
45,22069,24404,24
46,22068,24513,5
47,22067,24475,25
48,22066,24484,5
49,22065,23239,25
50,22064,24406,31
51,22063,25166,24
52,22062,23238,4
53,22061,23348,22
54,22060,24760,25
55,22059,25491,29
56,22058,25339,2
57,22057,24157,0
58,22055,25347,4
59,22054,24462,36
60,22053,24516,23
61,22052,24159,12
62,22051,24998,18
63,22050,24995,18
64,22049,25564,31
65,22048,24365,22
66,22046,24364,31
67,22042,24970,30
68,22041,24363,31
69,22037,24555,1
70,22036,24518,32
71,22035,24433,36
72,22034,23452,0
73,22029,22860,18
74,22028,24416,18
75,22027,25403,18
76,22026,25402,2
77,22025,23547,0
78,22024,23539,5
79,22023,23445,36
80,22022,23478,4
81,22021,24560,0
82,22016,25417,31
83,22014,24547,5
84,22010,24466,5
85,22009,23657,0
86,22008,24402,27
87,22007,24412,34
88,22006,24562,5
89,22005,24494,12
90,22004,25415,20
91,22003,24031,8
92,22002,24576,31
93,22001,24414,31
94,22000,24523,31
95,21999,24025,24
96,21993,24125,30
97,21992,24423,0
98,21991,25794,37
99,21990,24553,36
100,21989,25350,6
101,21985,24524,10
102,21982,24575,24
103,21981,22460,4
104,21980,25419,32
105,21974,24532,36
106,21973,24449,4
107,21972,24442,0
108,21971,24505,23
109,21970,25488,30
110,21969,24410,31
111,21968,25155,12
112,21967,25396,24
113,21966,25408,3
114,21964,24411,6
115,21963,24507,0
116,21962,25344,5
117,21961,25349,36
118,21960,25348,21
119,21959,23583,19
120,21958,24545,35
121,21957,25287,25
122,21952,25569,27
123,21950,25335,32
124,21942,23499,24
125,21941,24085,30
126,21940,25516,28
127,21935,24144,24
128,21933,24441,35
129,21932,24429,0
130,21931,25317,32
131,21930,24485,13
132,21929,24744,25
133,21925,25413,10
134,21922,24534,20
135,21920,24459,0
136,21919,24540,8
137,21917,24426,8
138,21916,24432,8
139,21915,24457,8
140,21914,24158,30
141,21913,24552,31
142,21912,24431,17
143,21911,23457,31
144,21910,24521,8
145,21908,25157,5
146,21907,24520,6
147,21906,23990,25
148,21905,24480,0
149,21904,24840,0
150,21896,25493,36
151,21895,24538,8
152,21893,24966,7
153,21892,24967,8
154,21888,23248,5
155,21883,24541,4
156,21882,25490,8
157,21881,23794,0
158,21880,24954,31
159,21875,24456,4
160,21874,23899,32
161,21873,24150,2
162,21872,25401,18
163,21871,25400,18
164,21869,24583,30
165,21868,24584,6
166,21867,21597,0
167,21866,23380,30
168,21865,24479,0
169,21864,25161,4
170,21863,24206,0
171,21862,24207,0
172,21861,24461,31
173,21860,25412,4
174,21859,23776,27
175,21858,25286,31
176,21857,24453,32
177,21853,24445,31
178,21852,24536,8
179,21851,24827,10
180,21850,25489,29
181,21849,24421,4
182,21847,25152,5
183,21846,24496,29
184,21845,25156,5
185,21843,25151,5
186,21838,25164,13
187,21837,25392,13
188,21831,24209,0
189,21830,24776,33
190,21829,24186,0
191,21828,23548,31
192,21826,23778,0
193,21824,24775,0
194,21821,23763,25
195,21820,24512,29
196,21817,23570,30
197,21816,24156,30
198,21813,24155,30
199,21812,24476,4
200,21811,24196,24
201,21809,23653,19
202,21807,24569,17
203,21806,24030,33
204,21800,25146,7
205,21799,25145,7
206,21798,24483,13
207,21791,23501,36
208,21790,24470,18
209,21789,23535,18
210,21788,24561,5
211,21787,24471,36
212,21786,24482,8
213,21785,23534,23
214,21784,24498,36
215,21783,24407,2
216,21782,25160,11
217,21781,24544,14
218,21780,24737,18
219,21779,23533,0
220,21778,24851,15
221,21777,24362,8
222,21776,24469,0
223,21768,24689,20
224,21767,24508,31
225,21763,24502,20
226,21762,23526,17
227,21761,23543,12
228,21758,25141,18
229,21756,25142,18
230,21755,25140,18
231,21754,25065,32
232,21753,25144,10
233,21743,25163,36
234,21739,23579,4
235,21730,23444,24
236,21729,24834,25
237,21728,24452,8
238,21727,23282,18
239,21726,24417,0
240,21725,24454,8
241,21724,24539,32
242,21723,24554,8
243,21722,23768,36
244,21721,23594,31
245,21719,24448,13
246,21718,23781,5
247,21717,23435,25
248,21715,24436,27
249,21714,24577,20
250,21713,24564,0
251,21711,23951,31
252,21710,25238,19
253,21709,25239,25
254,21705,23237,4
255,21704,23437,25
256,21703,23463,31
257,21702,24958,26
258,21701,23468,8
259,21700,23440,10
260,21699,23460,10
261,21698,23223,35
262,21697,22063,31
263,21696,24889,5
264,21693,24766,6
265,21692,25165,24
266,21691,24531,21
267,21690,24210,36
268,21689,24957,23
269,21682,23545,31
270,21680,24956,29
271,21679,24965,5
272,21678,23529,31
273,21676,23129,13
274,21674,24888,36
275,21673,22836,29
276,21671,24887,20
277,21667,24886,5
278,21666,23595,32
279,21664,23551,31
280,21663,23454,22
281,21661,22810,35
282,21660,24939,0
283,21659,23656,9
284,21658,23536,15
285,21656,23756,36
286,21655,23537,14
287,21654,23571,34
288,21648,23565,31
289,21647,24316,32
290,21646,22045,36
291,21645,23544,35
292,21644,23896,31
293,21643,22058,19
294,21642,24190,15
295,21641,24392,24
296,21640,24963,24
297,21639,24136,24
298,21638,24962,25
299,21637,24961,31
300,21636,23789,35
301,21635,23473,31
302,21634,24959,34
303,21633,23484,31
304,21632,24960,25
305,21631,24658,5
306,21630,23787,21
307,21628,24321,33
308,21627,22404,35
309,21626,24391,32
310,21625,24193,32
311,21617,24848,28
312,21616,23765,7
313,21615,23509,25
314,21614,23363,36
315,21613,23359,18
316,21612,24628,10
317,21611,24922,5
318,21610,24964,8
319,21609,24133,31
320,21608,24921,5
321,21607,22666,19
322,21606,24938,0
323,21604,23562,13
324,21603,24028,7
325,21602,24661,12
326,21599,23495,8
327,21596,23609,6
328,21595,24953,8
329,21594,24952,30
330,21593,22835,23
331,21592,23575,23
332,21591,23907,27
333,21589,23580,19
334,21588,23246,0
335,21585,23791,9
336,21582,23245,0
337,21580,23906,22
338,21579,22438,8
339,21578,22752,8
340,21576,22689,7
341,21575,24932,7
342,21568,23589,14
343,21565,23469,6
344,21561,24315,31
345,21560,24195,32
346,21559,23785,13
347,21558,23527,7
348,21557,24579,21
349,21556,23430,29
350,21555,24835,7
351,21554,23568,7
352,21553,23480,7
353,21552,24135,13
354,21550,23032,30
355,21549,24828,31
356,21546,22834,23
357,21545,22833,23
358,21543,22665,0
359,21542,23461,8
360,21541,23506,31
361,21540,23516,24
362,21539,23775,31
363,21538,23615,8
364,21537,22664,19
365,21536,24343,5
366,21535,23525,22
367,21534,24342,5
368,21533,24841,4
369,21532,24143,13
370,21531,24134,1
371,21524,23799,5
372,21521,24654,5
373,21520,24341,5
374,21518,24655,5
375,21515,24656,5
376,21511,24832,8
377,21510,24833,0
378,21508,23531,0
379,21507,23573,0
380,21506,23453,8
381,21505,23462,8
382,21504,23467,8
383,21503,23593,8
384,21502,24138,0
385,21501,23780,36
386,21496,23538,14
387,21495,23627,18
388,21494,24665,18
389,21493,24668,18
390,21492,24673,8
391,21489,24376,8
392,21487,24664,18
393,21486,24663,18
394,21485,24662,18
395,21484,23604,35
396,21483,23470,28
397,21480,23037,15
398,21479,22030,4
399,21478,22131,0
400,21476,24670,19
401,21475,24672,31
402,21473,24671,2
403,21472,24738,10
404,21471,23602,14
405,21468,23523,7
406,21467,24669,24
407,21465,20350,4
408,21464,24127,21
409,21462,23550,7
410,21461,24079,12
411,21459,23374,22
412,21458,22558,31
413,21457,23485,13
414,21456,23560,4
415,21455,24027,7
416,21452,22113,31
417,21449,22119,0
418,21447,21619,0
419,21446,21622,14
420,21445,23474,25
421,21429,24696,8
422,21428,23442,0
423,21427,23541,27
424,21426,23611,25
425,21424,23458,36
426,21422,24382,36
427,21417,24029,7
428,21416,23084,31
429,21415,23774,0
430,21414,23502,34
431,21413,23802,0
432,21412,23402,0
433,21411,23740,0
434,21410,23377,34
435,21409,23086,0
436,21408,24042,27
437,21406,22831,23
438,21405,23482,0
439,21404,24381,8
440,21403,23352,8
441,21401,24358,35
442,21398,23490,8
443,21397,23598,25
444,21395,22017,36
445,21394,23771,6
446,21393,24626,31
447,21392,23429,24
448,21391,23414,12
449,21389,23390,17
450,21387,24375,5
451,21386,24026,8
452,21384,24374,5
453,21383,23438,2
454,21382,23518,31
455,21381,23652,31
456,21378,24219,16
457,21375,23479,2
458,21370,24627,3
459,21369,24201,5
460,21367,23633,31
461,21366,23225,6
462,21365,23224,19
463,21363,23227,12
464,21362,23448,4
465,21359,23407,2
466,21358,23378,12
467,21356,24130,2
468,21354,23392,18
469,21346,23400,14
470,21344,23360,31
471,21343,23989,31
472,21342,23408,8
473,21341,23418,14
474,21340,21664,30
475,21338,23078,0
476,21337,24021,31
477,21336,23416,30
478,21335,23903,30
479,21333,23073,36
480,21332,22799,33
481,21331,24624,0
482,21329,24625,0
483,21328,24623,0
484,21327,23181,24
485,21317,24304,18
486,21316,24296,18
487,21315,23622,18
488,21314,24297,18
489,21313,24294,18
490,21312,24295,18
491,21311,24319,26
492,21308,23298,31
493,21307,24218,21
494,21306,24217,5
495,21305,23281,16
496,21304,23724,2
497,21303,23029,30
498,21298,23952,22
499,21292,23333,31
500,21291,21507,10
501,21290,23331,8
502,21284,23695,24
503,21283,24373,23
504,21282,23399,35
505,21281,23757,6
506,21280,24340,5
507,21279,23747,30
508,21278,24372,27
509,21277,22083,0
510,21276,23066,14
511,21272,23254,25
512,21271,24390,20
513,21270,24284,0
514,21268,23413,13
515,21267,23023,0
516,21266,24356,0
517,21265,24581,36
518,21264,24395,31
519,21263,23301,7
520,21262,24022,7
521,21261,23424,7
522,21260,24041,37
523,21258,24380,5
524,21256,24378,36
525,21255,24377,14
526,21254,23464,0
527,21253,23385,4
528,21250,24396,31
529,21249,22955,4
530,21244,22614,2
531,21239,23727,0
532,21235,24582,8
533,21228,23821,31
534,21227,23388,25
535,21226,24148,2
536,21225,24062,31
537,21218,23316,28
538,21217,23409,16
539,21216,23383,0
540,21212,23036,28
541,21211,24403,0
542,21210,23343,17
543,21209,23350,31
544,21207,23357,31
545,21205,23732,12
546,21204,23788,35
547,21202,24122,31
548,21201,24580,14
549,21200,23432,25
550,21199,23296,0
551,21197,23330,8
552,21196,23279,8
553,21195,24131,31
554,21194,23427,0
555,21193,23425,35
556,21189,23305,36
557,21188,24202,5
558,21187,24120,1
559,21186,24167,34
560,21179,24379,36
561,21177,24200,5
562,21174,23340,4
563,21173,23369,31
564,21172,23308,23
565,21171,22829,14
566,21168,22663,19
567,21166,22662,19
568,21162,22661,19
569,21160,23370,7
570,21159,23379,7
571,21158,23297,25
572,21157,21682,13
573,21155,23294,0
574,21154,23128,37
575,21152,22882,14
576,21151,22611,2
577,21150,22872,8
578,21145,23326,23
579,21144,21958,31
580,21138,23419,0
581,21137,23857,28
582,21135,22310,0
583,21133,23736,29
584,21131,24348,7
585,21130,23411,7
586,21123,23420,31
587,21120,23322,8
588,21118,23353,8
589,21117,23339,8
590,21116,23286,8
591,21115,23368,0
592,21114,23735,36
593,21113,24283,8
594,21101,21033,31
595,21099,22541,31
596,21098,22540,31
597,21096,22521,31
598,21095,22539,31
599,21092,23062,32
600,21090,23371,4
601,21088,24314,32
602,21085,24023,7
603,21083,23315,7
604,21082,22828,29
605,21081,23701,7
606,21079,22454,4
607,21078,23327,22
608,21077,24112,22
609,21076,22570,0
610,21074,22753,18
611,21073,22456,0
612,21072,21990,31
613,21071,24192,31
614,21070,22140,30
615,21068,21370,18
616,21067,22907,0
617,21066,22084,31
618,21065,20911,22
619,21064,21367,2
620,21055,21852,31
621,21054,23889,8
622,21053,22826,7
623,21052,24352,25
624,21051,23349,25
625,21050,24197,13
626,21049,21854,8
627,21048,24198,5
628,21041,24166,29
629,21039,23719,5
630,21036,23731,5
631,21034,23651,31
632,21033,23342,13
633,21031,21866,22
634,21024,23902,23
635,21020,22740,19
636,21014,22888,4
637,21011,24078,8
638,21009,23950,32
639,21008,22893,31
640,21007,22865,34
641,21006,23085,0
642,21005,23083,0
643,21004,23692,4
644,21003,23412,36
645,21002,23760,8
646,21001,23398,5
647,21000,23065,31
648,20999,22403,2
649,20998,22400,26
650,20997,22859,0
651,20996,23693,31
652,20995,23277,24
653,20994,22517,0
654,20991,24147,26
655,20990,23389,24
656,20989,24024,30
657,20988,23716,0
658,20987,22100,0
659,20986,23417,25
660,20985,24063,31
661,20983,22755,0
662,20981,23058,31
663,20977,24188,34
664,20976,23031,30
665,20974,21444,6
666,20972,23332,7
667,20971,22660,0
668,20970,22659,31
669,20969,23290,25
670,20968,23382,4
671,20967,22006,19
672,20962,23358,5
673,20961,21665,0
674,20960,22165,0
675,20959,22775,31
676,20958,23355,31
677,20957,21402,31
678,20956,24194,26
679,20954,23144,0
680,20953,24058,7
681,20952,23403,7
682,20951,22722,2
683,20950,21919,34
684,20949,24215,3
685,20948,22871,17
686,20947,22785,4
687,20946,22883,12
688,20945,24216,12
689,20944,24142,28
690,20943,21085,31
691,20940,23733,29
692,20918,23077,31
693,20917,23626,18
694,20916,23628,18
695,20914,24067,5
696,20913,23183,31
697,20910,24004,18
698,20909,22244,30
699,20908,23901,30
700,20907,24114,18
701,20905,22809,5
702,20903,23898,12
703,20902,21842,32
704,20901,21900,32
705,20899,23895,0
706,20897,22788,14
707,20896,22896,25
708,20895,21088,2
709,20894,22710,5
710,20893,22683,31
711,20892,22840,34
712,20891,24146,0
713,20890,22863,12
714,20889,22846,24
715,20888,22783,22
716,20887,21846,31
717,20886,23190,31
718,20885,23667,0
719,20884,22870,30
720,20883,23912,31
721,20882,22894,0
722,20881,23972,4
723,20880,23914,31
724,20879,22786,0
725,20878,23872,5
726,20877,23870,29
727,20876,23873,5
728,20875,23864,29
729,20874,23180,24
730,20873,24151,2
731,20872,22877,18
732,20871,24149,2
733,20870,22743,22
734,20869,24066,0
735,20867,20787,5
736,20866,21513,31
737,20865,23018,15
738,20864,23061,31
739,20863,23051,31
740,20860,22856,31
741,20859,24141,18
742,20858,23072,36
743,20856,22813,30
744,20851,22890,7
745,20850,24164,7
746,20849,23415,7
747,20848,22824,7
748,20847,24165,7
749,20846,22825,29
750,20845,22789,6
751,20844,24019,7
752,20842,22697,31
753,20841,22732,13
754,20840,22781,30
755,20839,22729,31
756,20838,22798,31
757,20834,23680,0
758,20832,23971,16
759,20831,22097,5
760,20830,22875,16
761,20829,22761,36
762,20828,20980,0
763,20827,23970,5
764,20826,23969,36
765,20825,22208,34
766,20820,23861,18
767,20819,23641,6
768,20818,22747,31
769,20817,23640,34
770,20816,24020,24
771,20815,23035,15
772,20814,22048,34
773,20810,22881,13
774,20809,22841,34
775,20807,22186,35
776,20795,20786,0
777,20790,23057,31
778,20789,23064,0
779,20786,22402,26
780,20784,23624,18
781,20783,23630,0
782,20782,23621,18
783,20781,23625,18
784,20780,23249,19
785,20778,23897,22
786,20776,20519,0
787,20773,22777,7
788,20772,22858,7
789,20771,22704,7
790,20770,23967,31
791,20767,22613,2
792,20766,22844,25
793,20765,21508,31
794,20763,22862,31
795,20762,23221,35
796,20761,22812,0
797,20760,23911,31
798,20759,22803,31
799,20758,22520,8
800,20746,23786,35
801,20745,22851,31
802,20744,22839,27
803,20743,22796,32
804,20742,22696,5
805,20741,22682,27
806,20739,23681,5
807,20738,22849,31
808,20737,22749,8
809,20735,22760,35
810,20731,22756,8
811,20730,22806,8
812,20729,22805,8
813,20728,22698,8
814,20727,22773,8
815,20726,22746,0
816,20725,22770,8
817,20723,22308,31
818,20722,23666,32
819,20721,23257,14
820,20720,22867,0
821,20717,22736,28
822,20710,23900,30
823,20708,23968,14
824,20707,22771,14
825,20701,23127,35
826,20700,23669,13
827,20699,22703,24
828,20698,23913,13
829,20697,22769,7
830,20696,22735,7
831,20695,23910,7
832,20694,22869,23
833,20693,23935,22
834,20692,21181,2
835,20690,23939,16
836,20688,22804,36
837,20687,22794,5
838,20686,22709,0
839,20685,22887,14
840,20684,22801,5
841,20683,22394,23
842,20681,22723,11
843,20680,22823,9
844,20679,24003,31
845,20677,22853,14
846,20676,23865,5
847,20673,23869,5
848,20672,23868,15
849,20671,23867,5
850,20669,22876,0
851,20660,21957,36
852,20658,22395,15
853,20657,20633,15
854,20655,22702,5
855,20652,22004,31
856,20650,23087,0
857,20649,22051,0
858,20647,22873,7
859,20646,22895,7
860,20645,22780,7
861,20644,23908,7
862,20643,23081,0
863,20642,23082,0
864,20641,22766,24
865,20637,22822,35
866,20636,23650,31
867,20635,22750,31
868,20634,23655,0
869,20633,22658,31
870,20632,23679,30
871,20630,23909,22
872,20629,22821,35
873,20627,23856,35
874,20625,23863,19
875,20623,23866,11
876,20618,21986,30
877,20612,22731,4
