,id bitacora,id atencion,cluster
0,22141,23226,3
1,22139,24816,6
2,22138,24081,6
3,22137,25383,3
4,22131,25139,3
5,22130,25795,3
6,22129,25466,0
7,22125,24317,2
8,22123,24420,0
9,22122,23581,6
10,22118,23441,5
11,22117,22027,4
12,22115,24468,6
13,22111,25880,2
14,22107,25885,1
15,22104,24424,3
16,22103,24530,5
17,22102,24481,3
18,22101,24697,3
19,22096,24486,2
20,22095,24514,4
21,22094,24504,4
22,22093,24982,1
23,22092,23953,2
24,22091,24974,1
25,22090,23247,2
26,22089,25321,0
27,22088,25409,6
28,22087,22005,2
29,22086,24393,2
30,22085,24515,6
31,22084,24699,6
32,22083,25159,4
33,22082,24529,1
34,22081,25407,2
35,22080,24767,6
36,22079,25405,2
37,22078,25404,6
38,22077,25143,3
39,22076,21795,2
40,22075,25406,2
41,22074,25340,3
42,22073,24465,0
43,22071,23796,6
44,22070,24408,0
45,22069,24404,6
46,22068,24513,6
47,22067,24475,6
48,22066,24484,5
49,22065,23239,6
50,22064,24406,6
51,22063,25166,4
52,22062,23238,3
53,22061,23348,3
54,22060,24760,5
55,22059,25491,1
56,22058,25339,3
57,22057,24157,1
58,22055,25347,0
59,22054,24462,1
60,22053,24516,0
61,22052,24159,6
62,22051,24998,3
63,22050,24995,0
64,22049,25564,6
65,22048,24365,6
66,22046,24364,6
67,22042,24970,2
68,22041,24363,3
69,22037,24555,0
70,22036,24518,3
71,22035,24433,2
72,22034,23452,3
73,22029,22860,0
74,22028,24416,1
75,22027,25403,4
76,22026,25402,6
77,22025,23547,4
78,22024,23539,4
79,22023,23445,3
80,22022,23478,1
81,22021,24560,2
82,22016,25417,3
83,22014,24547,4
84,22010,24466,6
85,22009,23657,3
86,22008,24402,2
87,22007,24412,2
88,22006,24562,6
89,22005,24494,1
90,22004,25415,4
91,22003,24031,2
92,22002,24576,2
93,22001,24414,6
94,22000,24523,1
95,21999,24025,1
96,21993,24125,6
97,21992,24423,2
98,21991,25794,1
99,21990,24553,1
100,21989,25350,1
101,21985,24524,3
102,21982,24575,1
103,21981,22460,3
104,21980,25419,3
105,21974,24532,3
106,21973,24449,2
107,21972,24442,3
108,21971,24505,0
109,21970,25488,6
110,21969,24410,0
111,21968,25155,3
112,21967,25396,0
113,21966,25408,3
114,21964,24411,2
115,21963,24507,6
116,21962,25344,0
117,21961,25349,2
118,21960,25348,4
119,21959,23583,0
120,21958,24545,3
121,21957,25287,5
122,21952,25569,1
123,21950,25335,6
124,21942,23499,6
125,21941,24085,0
126,21940,25516,0
127,21935,24144,0
128,21933,24441,3
129,21932,24429,3
130,21931,25317,1
131,21930,24485,6
132,21929,24744,4
133,21925,25413,5
134,21922,24534,6
135,21920,24459,0
136,21919,24540,3
137,21917,24426,6
138,21916,24432,6
139,21915,24457,1
140,21914,24158,3
141,21913,24552,3
142,21912,24431,1
143,21911,23457,4
144,21910,24521,3
145,21908,25157,3
146,21907,24520,2
147,21906,23990,6
148,21905,24480,2
149,21904,24840,3
150,21896,25493,6
151,21895,24538,3
152,21893,24966,3
153,21892,24967,4
154,21888,23248,1
155,21883,24541,1
156,21882,25490,0
157,21881,23794,0
158,21880,24954,0
159,21875,24456,0
160,21874,23899,6
161,21873,24150,0
162,21872,25401,4
163,21871,25400,4
164,21869,24583,4
165,21868,24584,5
166,21867,21597,0
167,21866,23380,2
168,21865,24479,1
169,21864,25161,5
170,21863,24206,2
171,21862,24207,1
172,21861,24461,0
173,21860,25412,1
174,21859,23776,0
175,21858,25286,1
