,id bitacora,id atencion,cluster
0,22141,23226,35
1,22139,24816,11
2,22138,24081,1
3,22137,25383,2
4,22131,25139,25
5,22130,25795,33
6,22129,25466,22
7,22125,24317,9
8,22123,24420,15
9,22122,23581,1
10,22118,23441,19
11,22117,22027,8
12,22115,24468,6
13,22111,25880,10
14,22107,25885,2
15,22104,24424,2
16,22103,24530,1
17,22102,24481,21
18,22101,24697,15
19,22096,24486,34
20,22095,24514,34
21,22094,24504,2
22,22093,24982,2
23,22092,23953,31
24,22091,24974,33
25,22090,23247,1
26,22089,25321,31
27,22088,25409,24
28,22087,22005,2
29,22086,24393,30
30,22085,24515,28
31,22084,24699,22
32,22083,25159,22
33,22082,24529,21
34,22081,25407,18
35,22080,24767,2
36,22079,25405,18
37,22078,25404,18
38,22077,25143,18
39,22076,21795,18
40,22075,25406,18
41,22074,25340,14
42,22073,24465,28
43,22071,23796,2
44,22070,24408,33
45,22069,24404,6
46,22068,24513,15
47,22067,24475,3
48,22066,24484,15
49,22065,23239,3
50,22064,24406,2
51,22063,25166,12
52,22062,23238,29
53,22061,23348,7
54,22060,24760,7
55,22059,25491,29
56,22058,25339,18
57,22057,24157,1
58,22055,25347,13
59,22054,24462,13
60,22053,24516,10
61,22052,24159,21
62,22051,24998,18
63,22050,24995,18
64,22049,25564,2
65,22048,24365,7
66,22046,24364,22
67,22042,24970,21
68,22041,24363,2
69,22037,24555,5
70,22036,24518,21
71,22035,24433,34
72,22034,23452,9
73,22029,22860,18
74,22028,24416,18
75,22027,25403,18
76,22026,25402,18
77,22025,23547,29
78,22024,23539,33
79,22023,23445,34
80,22022,23478,33
81,22021,24560,16
82,22016,25417,19
83,22014,24547,25
84,22010,24466,25
85,22009,23657,1
86,22008,24402,15
87,22007,24412,14
88,22006,24562,25
89,22005,24494,13
90,22004,25415,13
91,22003,24031,5
92,22002,24576,2
93,22001,24414,2
94,22000,24523,2
95,21999,24025,6
96,21993,24125,21
97,21992,24423,1
98,21991,25794,20
99,21990,24553,0
100,21989,25350,0
101,21985,24524,6
102,21982,24575,6
103,21981,22460,2
104,21980,25419,21
105,21974,24532,34
106,21973,24449,0
107,21972,24442,11
108,21971,24505,10
109,21970,25488,21
110,21969,24410,2
111,21968,25155,21
112,21967,25396,6
113,21966,25408,8
114,21964,24411,2
115,21963,24507,11
116,21962,25344,25
117,21961,25349,34
118,21960,25348,29
119,21959,23583,35
120,21958,24545,12
121,21957,25287,6
122,21952,25569,23
123,21950,25335,21
124,21942,23499,6
125,21941,24085,21
126,21940,25516,19
127,21935,24144,6
128,21933,24441,12
129,21932,24429,0
130,21931,25317,6
131,21930,24485,0
132,21929,24744,28
133,21925,25413,24
134,21922,24534,13
135,21920,24459,11
136,21919,24540,15
137,21917,24426,15
138,21916,24432,9
139,21915,24457,11
140,21914,24158,21
141,21913,24552,22
142,21912,24431,0
143,21911,23457,2
144,21910,24521,33
145,21908,25157,25
146,21907,24520,0
147,21906,23990,3
148,21905,24480,11
149,21904,24840,11
150,21896,25493,15
151,21895,24538,15
152,21893,24966,28
153,21892,24967,15
154,21888,23248,23
155,21883,24541,0
156,21882,25490,0
157,21881,23794,20
158,21880,24954,2
159,21875,24456,0
160,21874,23899,21
161,21873,24150,18
162,21872,25401,18
163,21871,25400,18
164,21869,24583,21
165,21868,24584,21
166,21867,21597,1
167,21866,23380,21
168,21865,24479,1
169,21864,25161,13
170,21863,24206,1
171,21862,24207,1
172,21861,24461,2
173,21860,25412,2
174,21859,23776,8
175,21858,25286,2
176,21857,24453,9
177,21853,24445,2
178,21852,24536,13
179,21851,24827,6
180,21850,25489,29
181,21849,24421,13
182,21847,25152,22
183,21846,24496,10
184,21845,25156,25
185,21843,25151,25
186,21838,25164,15
187,21837,25392,15
188,21831,24209,1
189,21830,24776,23
190,21829,24186,1
191,21828,23548,2
192,21826,23778,1
193,21824,24775,20
194,21821,23763,15
195,21820,24512,10
196,21817,23570,1
197,21816,24156,1
198,21813,24155,1
199,21812,24476,2
200,21811,24196,6
201,21809,23653,35
202,21807,24569,5
203,21806,24030,23
204,21800,25146,8
205,21799,25145,8
206,21798,24483,8
207,21791,23501,34
208,21790,24470,18
209,21789,23535,18
210,21788,24561,25
211,21787,24471,34
212,21786,24482,23
213,21785,23534,33
214,21784,24498,34
215,21783,24407,18
216,21782,25160,22
217,21781,24544,34
218,21780,24737,26
219,21779,23533,11
220,21778,24851,16
221,21777,24362,7
222,21776,24469,1
223,21768,24689,13
224,21767,24508,2
225,21763,24502,13
226,21762,23526,19
227,21761,23543,30
228,21758,25141,18
229,21756,25142,18
230,21755,25140,18
231,21754,25065,34
232,21753,25144,6
233,21743,25163,21
234,21739,23579,15
235,21730,23444,6
236,21729,24834,28
237,21728,24452,0
238,21727,23282,30
239,21726,24417,11
240,21725,24454,34
241,21724,24539,15
242,21723,24554,15
243,21722,23768,34
244,21721,23594,2
245,21719,24448,23
246,21718,23781,25
247,21717,23435,15
248,21715,24436,3
249,21714,24577,23
250,21713,24564,1
251,21711,23951,9
252,21710,25238,2
253,21709,25239,3
254,21705,23237,29
255,21704,23437,3
256,21703,23463,2
257,21702,24958,9
