,id bitacora,id atencion,cluster
0,22141,23226.0,7
1,22125,24317.0,7
2,22115,24468.0,1
3,22107,25885.0,7
4,22104,24424.0,3
5,22103,24530.0,3
6,22102,24481.0,3
7,22096,24486.0,1
8,22093,24982.0,6
9,22092,23953.0,7
10,22089,25321.0,7
11,22087,22005.0,1
12,22086,24393.0,7
13,22082,24529.0,8
14,22081,25407.0,8
15,22080,24767.0,8
16,22079,25405.0,8
17,22078,25404.0,8
18,22077,25143.0,8
19,22076,21795.0,6
20,22075,25406.0,8
21,22071,23796.0,3
22,22065,23239.0,1
23,22063,25166.0,6
24,22062,23238.0,1
25,22061,23348.0,3
26,22060,24760.0,2
27,22058,25339.0,3
28,22055,25347.0,4
29,22054,24462.0,7
30,22051,24998.0,6
31,22050,24995.0,0
32,22048,24365.0,1
33,22046,24364.0,1
34,22042,24970.0,6
35,22041,24363.0,1
36,22037,24555.0,3
37,22036,24518.0,4
38,22035,24433.0,3
39,22034,23452.0,3
40,22029,22860.0,7
41,22028,24416.0,7
42,22027,25403.0,7
43,22026,25402.0,0
44,22025,23547.0,1
45,22024,23539.0,1
46,22023,23445.0,1
47,22022,23478.0,1
48,22016,25417.0,6
49,22014,24547.0,6
50,22009,23657.0,3
51,22007,24412.0,7
52,22004,25415.0,4
53,22003,24031.0,3
54,22002,24576.0,3
55,22001,24414.0,3
56,22000,24523.0,3
57,21999,24025.0,4
58,21992,24423.0,1
59,21991,25794.0,1
60,21990,24553.0,2
61,21989,25350.0,2
62,21982,24575.0,2
63,21981,22460.0,7
64,21980,25419.0,6
65,21970,25488.0,6
66,21968,25155.0,6
67,21967,25396.0,6
68,21966,25408.0,2
69,21964,24411.0,2
70,21962,25344.0,2
71,21961,25349.0,2
72,21960,25348.0,2
73,21952,25569.0,7
74,21950,25335.0,6
75,21932,24429.0,2
76,21931,25317.0,7
77,21925,25413.0,7
78,21922,24534.0,6
79,21920,24459.0,1
80,21919,24540.0,1
81,21917,24426.0,1
82,21916,24432.0,1
83,21915,24457.0,1
84,21912,24431.0,1
85,21910,24521.0,1
86,21907,24520.0,1
87,21905,24480.0,1
88,21893,24966.0,3
89,21883,24541.0,3
90,21882,25490.0,3
91,21881,23794.0,2
92,21880,24954.0,2
93,21875,24456.0,3
94,21874,23899.0,7
95,21873,24150.0,0
96,21872,25401.0,6
97,21871,25400.0,7
98,21865,24479.0,1
99,21862,24207.0,1
100,21861,24461.0,1
101,21860,25412.0,6
102,21859,23776.0,6
103,21857,24453.0,6
104,21831,24209.0,1
105,21829,24186.0,1
106,21828,23548.0,1
107,21826,23778.0,1
108,21812,24476.0,2
109,21811,24196.0,7
110,21809,23653.0,3
111,21806,24030.0,3
112,21791,23501.0,7
113,21790,24470.0,0
114,21789,23535.0,0
115,21780,24737.0,7
116,21776,24469.0,3
117,21768,24689.0,4
118,21767,24508.0,4
119,21758,25141.0,8
120,21756,25142.0,8
121,21755,25140.0,6
122,21754,25065.0,6
123,21753,25144.0,6
124,21730,23444.0,4
125,21729,24834.0,7
126,21728,24452.0,1
127,21726,24417.0,1
128,21725,24454.0,1
129,21724,24539.0,1
130,21723,24554.0,1
131,21722,23768.0,2
132,21721,23594.0,3
133,21711,23951.0,7
134,21710,25238.0,2
135,21709,25239.0,3
136,21705,23237.0,1
137,21704,23437.0,2
138,21703,23463.0,6
139,21702,24958.0,6
140,21701,23468.0,6
141,21700,23440.0,6
142,21699,23460.0,6
143,21698,23223.0,6
144,21697,22063.0,6
145,21693,24766.0,8
146,21692,25165.0,6
147,21691,24531.0,3
148,21682,23545.0,3
149,21679,24965.0,3
150,21678,23529.0,3
151,21664,23551.0,3
152,21663,23454.0,2
153,21660,24939.0,3
154,21659,23656.0,3
155,21658,23536.0,2
156,21655,23537.0,1
157,21654,23571.0,1
158,21647,24316.0,7
159,21645,23544.0,1
160,21644,23896.0,7
161,21643,22058.0,1
